2020-04-18 13:29:57.097 [main] INFO  c.s.s.SpringbootKuangshenApplication - Starting SpringbootKuangshenApplication on sch with PID 8256 (/home/sch/project/untitled/springboot-kuangshen/target/classes started by sch in /home/sch/project/untitled/springboot-kuangshen)
2020-04-18 13:29:57.112 [main] INFO  c.s.s.SpringbootKuangshenApplication - No active profile set, falling back to default profiles: default
2020-04-18 13:29:57.778 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-04-18 13:29:57.780 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-04-18 13:29:57.799 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 7ms. Found 0 Redis repository interfaces.
2020-04-18 13:29:58.222 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8089 (http)
2020-04-18 13:29:58.229 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8089"]
2020-04-18 13:29:58.230 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-04-18 13:29:58.230 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
2020-04-18 13:29:58.285 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/springBootWeb] - Initializing Spring embedded WebApplicationContext
2020-04-18 13:29:58.285 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1048 ms
2020-04-18 13:29:58.942 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@1846579f, org.springframework.security.web.context.SecurityContextPersistenceFilter@1108adc8, org.springframework.security.web.header.HeaderWriterFilter@b0e5507, org.springframework.security.web.csrf.CsrfFilter@55a609dd, org.springframework.security.web.authentication.logout.LogoutFilter@4096aa05, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@64f16277, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@20011bf, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@1c5c616f, org.springframework.security.web.authentication.rememberme.RememberMeAuthenticationFilter@4e6f2bb5, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6cd166b8, org.springframework.security.web.session.SessionManagementFilter@3c46dcbe, org.springframework.security.web.access.ExceptionTranslationFilter@255e5e2e, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@47fbc56]
2020-04-18 13:29:59.036 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-04-18 13:29:59.080 [main] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page template: index
